,day,province,susceptics,exposed,infected,recover,from_lat,from_lon
119155,7.0,福建,39409999.99,0.007,0.002,0.0,26.142049999999998,118.73027333333334
119750,7.0,西藏,3439999.993,0.005,0.002,0.0,,
119751,7.0,贵州,35999999.996,0.003,0.001,0.0,27.496083333333335,107.00552
120279,7.0,辽宁,43589999.999,0.001,0.0,0.0,41.50919357142857,123.15024785714284
121054,7.0,重庆,31019999.959,0.029,0.01,0.002,31.947670000000002,109.8788
121057,7.0,陕西,38639999.986,0.01,0.003,0.001,35.282599000000005,109.596947
121852,7.0,青海,6029999.992,0.005,0.002,0.0,36.88553,102.31702999999999
121926,7.0,黑龙江,37729999.999,0.001,0.0,0.0,47.34939249999999,130.2335575
122744,8.0,上海,24239999.986,0.01,0.003,0.001,31.6229,121.54409
122748,8.0,云南,48299999.996,0.003,0.001,0.0,25.904379999999996,102.30507500000002
123420,8.0,内蒙古,25339999.989,0.007,0.003,0.001,,
123421,8.0,北京,21539999.982,0.012,0.004,0.001,40.45678,117.12141000000001
123424,8.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
124123,8.0,四川,83409999.981,0.013,0.005,0.001,30.53237777777778,105.2965627777778
124996,8.0,天津,15599999.997,0.002,0.001,0.0,40.045770000000005,117.82478
125000,8.0,宁夏,6879999.982,0.012,0.004,0.001,,
125001,8.0,安徽,63239999.968,0.022,0.008,0.002,32.297855625000004,117.78378999999998
125706,8.0,山东,100469999.991,0.006,0.002,0.001,36.72984058823529,118.55807705882354
126479,8.0,山西,37179999.998,0.001,0.0,0.0,37.94250727272727,113.0517218181818
127269,8.0,广东,113459999.962,0.027,0.009,0.002,23.33513857142857,114.03101857142859
127967,8.0,广西,49259999.993,0.005,0.002,0.0,,
127968,8.0,新疆,24869999.999,0.001,0.0,0.0,,
127969,8.0,江苏,80509999.979,0.015,0.005,0.001,33.117227692307694,119.85052999999999
128676,8.0,江西,46479999.955,0.031,0.011,0.003,28.422473636363634,116.2816772727273
129307,8.0,河北,75559999.989,0.008,0.003,0.001,39.43456181818181,116.94264636363637
130036,8.0,河南,96049999.89,0.076,0.027,0.006,34.62354470588235,114.39410823529411
130842,8.0,浙江,57369999.983,0.012,0.004,0.001,30.10409363636364,120.86088727272727
131432,8.0,海南,9339999.997,0.002,0.001,0.0,19.191874285714285,110.12555857142857
132200,8.0,湖北,59169434.821,370.574,200.924,93.682,31.060170000000003,113.48653125000003
132996,8.0,湖南,68989999.908,0.064,0.023,0.005,28.16187230769231,112.56216384615384
133638,8.0,甘肃,26369999.998,0.001,0.0,0.0,37.30401,103.87728333333332
134498,8.0,福建,39409999.986,0.009,0.003,0.001,26.142049999999998,118.73027333333334
135093,8.0,西藏,3439999.991,0.007,0.002,0.001,,
135094,8.0,贵州,35999999.995,0.004,0.001,0.0,27.496083333333335,107.00552
135622,8.0,辽宁,43589999.999,0.001,0.0,0.0,41.50919357142857,123.15024785714284
136397,8.0,重庆,31019999.943,0.04,0.014,0.003,31.947670000000002,109.8788
136400,8.0,陕西,38639999.98,0.014,0.005,0.001,35.282599000000005,109.596947
137195,8.0,青海,6029999.989,0.007,0.003,0.001,36.88553,102.31702999999999
137269,8.0,黑龙江,37729999.998,0.001,0.0,0.0,47.34939249999999,130.2335575
138087,9.0,上海,24239999.981,0.013,0.005,0.001,31.6229,121.54409
138091,9.0,云南,48299999.995,0.004,0.001,0.0,25.904379999999996,102.30507500000002
138763,9.0,内蒙古,25339999.985,0.01,0.004,0.001,,
138764,9.0,北京,21539999.975,0.017,0.006,0.002,40.45678,117.12141000000001
138767,9.0,吉林,27040000.0,0.0,0.0,0.0,43.973112500000006,126.18114
139466,9.0,四川,83409999.974,0.018,0.007,0.002,30.53237777777778,105.2965627777778
140339,9.0,天津,15599999.995,0.003,0.001,0.0,40.045770000000005,117.82478
140343,9.0,宁夏,6879999.975,0.017,0.006,0.002,,
140344,9.0,安徽,63239999.956,0.03,0.011,0.003,32.297855625000004,117.78378999999998
141049,9.0,山东,100469999.988,0.008,0.003,0.001,36.72984058823529,118.55807705882354
141822,9.0,山西,37179999.997,0.002,0.001,0.0,37.94250727272727,113.0517218181818
