,day,susceptics,exposed,infected,recover,province_y,province_en
513,16,96049999,0,0,0,河南省,Henan
514,16,57369999,0,0,0,浙江省,Zhejiang
515,16,9339999,0,0,0,海南省,Hainan
516,16,59169985,8,3,2,湖北省,Hubei
517,16,68989999,0,0,0,湖南省,Hunan
518,16,26369999,0,0,0,甘肃省,Gansu
519,16,39409999,0,0,0,福建省,Fujian
520,16,3439999,0,0,0,西藏自治区,Tibet
521,16,35999999,0,0,0,贵州省,Guizhou
522,16,43589999,0,0,0,辽宁省,Liaoning
523,16,31019999,0,0,0,重庆声,Chongqing
524,16,38639999,0,0,0,陕西省,Shaanxi
525,16,6029999,0,0,0,青海省,Qinghai
526,16,37729999,0,0,0,黑龙江省,Heilongjiang
527,17,24239999,0,0,0,上海市,Shanghai
528,17,48299999,0,0,0,云南省,Yunnan
529,17,25339999,0,0,0,内蒙古自治区,Inner Mongolia
530,17,21539999,0,0,0,北京市,Beijing
531,17,27039999,0,0,0,吉林省,Jilin
532,17,83409999,0,0,0,四川省,Sichuan
533,17,15599999,0,0,0,天津市,Tianjin
534,17,6879999,0,0,0,宁夏回族自治区,Ningxia
535,17,63239999,0,0,0,安徽省,Anhui
536,17,100469999,0,0,0,山东省,Shandong
537,17,37179999,0,0,0,山西省,Shanxi
538,17,113459999,0,0,0,广东省,Guangdong
539,17,49259999,0,0,0,广西壮族自治区,Guangxi
540,17,24869999,0,0,0,新疆维吾尔自治区,Xinjiang
541,17,80509999,0,0,0,江苏省,Jiangsu
542,17,46479999,0,0,0,江西省,Jiangxi
543,17,75559999,0,0,0,河北省,Hebei
544,17,96049999,0,0,0,河南省,Henan
545,17,57369999,0,0,0,浙江省,Zhejiang
